variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,,,,270.9233169555664,18,13,22,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,False,False,0.9411764705882353,2,57,64,256746,336.65664291381836,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,60,68,275515,330.9364449977875,0,22,22,7,22,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,60,69,275768,267.1777398586273,0,21,14,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5294117647058824,16,,,,333.6160891056061,18,12,21,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.8235294117647058,6,50,56,233729,264.1801919937134,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5294117647058824,16,60,60,239648,245.10579586029053,0,23,20,5,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,False,False,0.5294117647058824,16,60,65,253093,244.88391995429993,0,19,22,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5294117647058824,16,,,,236.6475830078125,18,17,17,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,False,False,0.9117647058823529,3,57,62,256914,267.29895782470703,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5294117647058824,16,60,67,264934,259.0502579212189,0,20,29,15,19,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5294117647058824,16,60,68,260412,279.25759506225586,0,23,15,9,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5357142857142857,13,,,,280.2105121612549,18,23,13,5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.8214285714285714,5,60,63,236972,212.21522307395935,19,0,0,51,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5357142857142857,13,60,62,223175,191.98853611946106,0,32,17,14,52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5357142857142857,13,60,63,226097,213.1567988395691,0,31,11,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,,,,270.2318608760834,18,22,18,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,False,False,False,0.8571428571428572,4,57,58,217049,180.65928196907043,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,60,63,231921,205.08716011047363,0,37,13,11,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,60,62,214204,191.0208239555359,0,25,15,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5357142857142857,13,,,,207.99131202697754,18,22,14,5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.8214285714285714,5,60,60,217873,171.79321217536926,19,0,0,50,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5357142857142857,13,60,61,222328,190.60420489311218,0,38,8,8,37,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5357142857142857,13,60,61,217100,170.1279890537262,0,36,10,1,21,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.52,12,,,,191.78118419647217,18,25,6,3,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__full-sa-mcgs-locked.json
