variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5294117647058824,16,,,,311.5615186691284,18,11,25,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/01_cuad34_scc_11_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,False,False,0.8823529411764706,4,60,69,280609,289.86366510391235,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/01_cuad34_scc_11_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5294117647058824,16,60,70,281799,308.9199390411377,0,26,19,2,17,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/01_cuad34_scc_11_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5294117647058824,16,60,67,263169,245.02761101722717,0,22,26,2,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/01_cuad34_scc_11_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5357142857142857,13,,,,254.04940700531006,18,27,15,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/02_cuad28_scc_39_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.75,7,55,60,224138,244.79870891571045,19,0,0,42,54,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/02_cuad28_scc_39_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5357142857142857,13,60,63,233270,187.61213874816895,0,37,12,5,20,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/02_cuad28_scc_39_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical,False,False,True,True,0.5357142857142857,13,60,61,214898,182.6567759513855,0,27,13,1,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/02_cuad28_scc_39_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.52,12,,,,218.2566032409668,18,24,8,8,46,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/03_bgb25_scc_3_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.6,10,54,55,201876,151.9351191520691,19,0,0,50,52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/03_bgb25_scc_3_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.52,12,60,61,221024,161.7031900882721,0,29,7,5,26,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/03_bgb25_scc_3_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.52,12,59,59,216233,136.19495916366577,0,21,17,14,41,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/03_bgb25_scc_3_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.52,12,,,,272.35966420173645,18,20,10,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/04_cuad25_scc_17_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.92,2,60,66,280929,242.9514479637146,19,0,0,2,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/04_cuad25_scc_17_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.52,12,60,69,300877,266.5923321247101,0,29,11,3,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/04_cuad25_scc_17_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.52,12,60,64,262913,214.8744921684265,0,28,10,4,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/04_cuad25_scc_17_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5416666666666667,11,,,,239.6987988948822,18,21,27,3,60,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.875,3,60,61,196281,202.59436082839966,19,0,0,2,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5416666666666667,11,60,62,198857,194.85741114616394,0,46,23,1,26,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5416666666666667,11,60,60,194226,176.11821913719177,0,48,16,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.55,9,,,,362.99630784988403,18,27,2,1,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.75,5,60,64,276971,219.81104016304016,19,0,0,40,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.55,9,60,60,263228,200.5340757369995,0,29,2,7,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.55,9,60,62,268411,205.00733017921448,0,31,5,15,20,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,9,,,,297.19686794281006,18,27,10,6,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/07_cuad18_scc_6_direct_mutex__full-sa-mcgs-locked.json
