variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5294117647058824,16,,,,311.5615186691284,18,11,25,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/01_cuad34_scc_11_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5357142857142857,13,,,,254.04940700531006,18,27,15,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/02_cuad28_scc_39_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.52,12,,,,218.2566032409668,18,24,8,8,46,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/03_bgb25_scc_3_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.52,12,,,,272.35966420173645,18,20,10,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/04_cuad25_scc_17_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5416666666666667,11,,,,239.6987988948822,18,21,27,3,60,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/05_cuad24_scc_21_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.55,9,,,,362.99630784988403,18,27,2,1,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/06_cuad20_scc_28_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,9,,,,297.19686794281006,18,27,10,6,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/07_cuad18_scc_6_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,9,,,,208.34112405776978,18,25,9,7,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/08_sec_ex2118_scc_3_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,True,True,0.5294117647058824,8,,,,241.17738699913025,18,28,5,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/09_cuad17_scc_0_direct_mutex__full-sa-mcgs-locked.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,,,,275.76619577407837,18,25,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_dryrun_check/results/10_cuad16_scc_23_direct_mutex__full-sa-mcgs-locked.json
