original_path	archived_path	reason
experiments/cross_domain/results/battle_smoke_1778420580.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_smoke_1778420580.json	smoke/pre-structural diagnostic run; superseded by structural_simple_v1 critical runs
experiments/cross_domain/results/battle_inject_smoke_1778505415.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_smoke_1778505415.json	smoke/pre-structural diagnostic run; superseded by structural_simple_v1 critical runs
experiments/cross_domain/results/battle_inject_smoke_1778505603.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_smoke_1778505603.json	smoke/pre-structural diagnostic run; superseded by structural_simple_v1 critical runs
experiments/cross_domain/results/battle_inject_memory_stress_smoke_1778507889.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_1778507889.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_memory_stress_smoke_1778508085.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_1778508085.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_convergence_trace_smoke_20260514_1778721201.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_convergence_trace_smoke_20260514_1778721201.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_convergence_trace_smoke_20260514_1778721201.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_convergence_trace_smoke_20260514_1778721201.partial.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_local_subgraph_smoke_20260514_1778717765.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_local_subgraph_smoke_20260514_1778717765.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_local_subgraph_smoke_20260514_1778717765.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_smoke_handoff_invariant_rankednaive_samcgsonly_local_subgraph_smoke_20260514_1778717765.partial.json	memory_stress smoke/pre-fix diagnostic; not paper main result
experiments/cross_domain/results/battle_inject_1778506612.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_1778506612.json	explicit UDIP sanity check; retained only as appendix if needed
