variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5294117647058824,16,,,,311.5615186691284,18,11,25,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/01_cuad34_scc_11_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.8235294117647058,6,54,60,233332,230.449059009552,19,0,0,7,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/01_cuad34_scc_11_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5294117647058824,16,60,71,284908,287.59881591796875,0,19,22,7,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/01_cuad34_scc_11_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5294117647058824,16,60,74,290868,286.2606999874115,0,22,24,3,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/01_cuad34_scc_11_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,,,,275.76619577407837,18,25,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/10_cuad16_scc_23_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.875,2,60,62,264534,192.10464596748352,19,0,0,2,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/10_cuad16_scc_23_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,63,273532,224.99781608581543,0,23,4,2,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/10_cuad16_scc_23_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,60,259401,172.3418161869049,0,24,5,3,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/10_cuad16_scc_23_direct_mutex__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.4444444444444444,5,,,,320.4360809326172,18,13,1,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/19_bgb9_scc_7_direct_mutex__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.5555555555555556,4,60,60,209960,145.76573705673218,19,0,0,4,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/19_bgb9_scc_7_direct_mutex__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.4444444444444444,5,59,59,195570,151.83800172805786,0,15,1,3,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/19_bgb9_scc_7_direct_mutex__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.4444444444444444,5,60,60,202078,149.15558385849,0,17,1,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage0_gpt4o_b60_c4_20260711_124535/results/19_bgb9_scc_7_direct_mutex__random-local-window-selection.json
