model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,llm_calls,time,result_file
gpt-4o,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,55,150.96577501296997,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json
deepseek-v3,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,43,169.8763771057129,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json
gpt-4o,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,57,145.78968214988708,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json
deepseek-v3,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,58,189.17094206809998,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json
gpt-4o,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,57,125.08899092674255,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json
deepseek-v3,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,57,181.6841962337494,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json
gpt-4o,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,49,154.68285489082336,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json
deepseek-v3,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,55,174.7125701904297,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json
gpt-4o,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,57,159.49510192871094,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json
deepseek-v3,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,59,188.06200790405273,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json
gpt-4o,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,59,157.3218810558319,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json
deepseek-v3,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,56,227.21209025382996,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json
gpt-4o,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,55,179.09507584571838,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json
deepseek-v3,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,59,197.15979981422424,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json
gpt-4o,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,55,161.93305087089539,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json
deepseek-v3,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,56,189.2787380218506,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json
gpt-4o,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,58,144.61453700065613,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json
deepseek-v3,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,51,175.47548007965088,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json
gpt-4o,sec_ex21,scc_0,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,58,163.20630502700806,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json
deepseek-v3,sec_ex21,scc_0,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,56,157.9819107055664,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json
