case_order,case_id,model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,source_result_file,old_llm_calls,old_time_sec
1,001_gpt-4o_debian11_scc_23_direct_mutex,gpt-4o,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,55,150.96577501296997
2,002_deepseek-v3_debian11_scc_23_direct_mutex,deepseek-v3,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,43,169.8763771057129
3,003_gpt-4o_debian11_scc_23_handoff_invariant,gpt-4o,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,57,145.78968214988708
4,004_deepseek-v3_debian11_scc_23_handoff_invariant,deepseek-v3,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,58,189.17094206809998
5,005_gpt-4o_debian11_scc_23_temporal_gate,gpt-4o,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json,57,125.08899092674255
6,006_deepseek-v3_debian11_scc_23_temporal_gate,deepseek-v3,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json,57,181.6841962337494
7,007_gpt-4o_debian11_scc_23_condition_trigger,gpt-4o,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json,49,154.68285489082336
8,008_deepseek-v3_debian11_scc_23_condition_trigger,deepseek-v3,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json,55,174.7125701904297
9,009_gpt-4o_debian12_scc_8_direct_mutex,gpt-4o,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json,57,159.49510192871094
10,010_deepseek-v3_debian12_scc_8_direct_mutex,deepseek-v3,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json,59,188.06200790405273
