样本编号,文本类型,段落数,冲突类型,模型
case_001_sec_ex21_18_gemini-2.5-pro_direct_mutex,公司股权/合并披露,18,两段话直接互相矛盾,gemini-2.5-pro
case_002_sec_ex21_18_qwen2.5-72b_handoff_invariant,公司股权/合并披露,18,前后传递的条件不一致,qwen2.5-72b
case_003_sec_ex21_10_gemini-2.5-pro_condition_trigger,公司股权/合并披露,10,触发条件前后不一致,gemini-2.5-pro
case_004_sec_ex21_10_gemini-2.5-pro_temporal_gate,公司股权/合并披露,10,时间或生效顺序冲突,gemini-2.5-pro
case_005_bgb_25_deepseek-v3_temporal_gate,德国民法法条,25,时间或生效顺序冲突,deepseek-v3
case_006_bgb_25_gpt-4o_condition_trigger,德国民法法条,25,触发条件前后不一致,gpt-4o
case_007_bgb_25_gpt-4o_handoff_invariant,德国民法法条,25,前后传递的条件不一致,gpt-4o
case_008_bgb_9_deepseek-v3_temporal_gate,德国民法法条,9,时间或生效顺序冲突,deepseek-v3
case_009_cuad_34_deepseek-v3_direct_mutex,合同条款,34,两段话直接互相矛盾,deepseek-v3
case_010_cuad_28_gemini-2.5-pro_direct_mutex,合同条款,28,两段话直接互相矛盾,gemini-2.5-pro
case_011_cuad_24_deepseek-v3_handoff_invariant,合同条款,24,前后传递的条件不一致,deepseek-v3
case_012_cuad_24_deepseek-v3_temporal_gate,合同条款,24,时间或生效顺序冲突,deepseek-v3
