variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,41_cuad18_scc_6_condition_trigger,41,cuad,scc_6,18,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5,9,,,,252.37758111953735,18,26,11,3,31,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/41_cuad18_scc_6_condition_trigger__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,41_cuad18_scc_6_condition_trigger,41,cuad,scc_6,18,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.7222222222222222,5,60,65,273267,315.28068113327026,19,0,0,3,36,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/41_cuad18_scc_6_condition_trigger__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,41_cuad18_scc_6_condition_trigger,41,cuad,scc_6,18,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5,9,60,71,314495,417.44251704216003,0,32,10,9,10,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/41_cuad18_scc_6_condition_trigger__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,41_cuad18_scc_6_condition_trigger,41,cuad,scc_6,18,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5,9,60,77,330640,445.2541489601135,0,30,9,4,14,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/41_cuad18_scc_6_condition_trigger__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,42_cuad18_scc_6_handoff_invariant,42,cuad,scc_6,18,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5,9,,,,378.91031193733215,18,22,11,8,33,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/42_cuad18_scc_6_handoff_invariant__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,42_cuad18_scc_6_handoff_invariant,42,cuad,scc_6,18,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.6666666666666667,6,60,66,295663,605.5783860683441,19,0,0,15,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/42_cuad18_scc_6_handoff_invariant__no-critical-pair-ledger-revisit.json
No relation-first memory,no-relation-first-memory,42_cuad18_scc_6_handoff_invariant,42,cuad,scc_6,18,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5,9,60,65,282407,280.6180558204651,0,29,16,4,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/42_cuad18_scc_6_handoff_invariant__no-relation-first-memory.json
Random local-window selection,random-local-window-selection,42_cuad18_scc_6_handoff_invariant,42,cuad,scc_6,18,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5,9,60,68,289753,338.8379247188568,0,29,12,4,33,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/42_cuad18_scc_6_handoff_invariant__random-local-window-selection.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,43_cuad18_scc_6_temporal_gate,43,cuad,scc_6,18,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5,9,,,,241.74254703521729,18,27,8,1,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/43_cuad18_scc_6_temporal_gate__full-sa-mcgs-locked.json
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,43_cuad18_scc_6_temporal_gate,43,cuad,scc_6,18,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.6111111111111112,7,60,69,319006,279.50157594680786,19,0,0,27,37,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_midshort40_gpt4o_b60_ic4_cc4_20260711/results/43_cuad18_scc_6_temporal_gate__no-critical-pair-ledger-revisit.json
