method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,33,33,102713,25410,128123,123.52485299110413,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/01_cuad34_scc_11_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,1,1,69603,5824,75427,17.574147939682007,False,False,False,False,0.8823529411764706,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/01_cuad34_scc_11_direct_mutex__naive-single.json
SA-MCGS,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,49,49,149846,41149,190995,203.59805011749268,False,True,True,True,0.9117647058823529,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/01_cuad34_scc_11_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,25,25,69824,19586,89410,92.07801675796509,False,True,True,True,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/02_cuad28_scc_39_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,1,1,46566,3462,50028,12.550605058670044,False,True,True,True,0.9285714285714286,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/02_cuad28_scc_39_direct_mutex__naive-single.json
SA-MCGS,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,50,50,133630,40345,173975,212.22940301895142,False,False,True,True,0.75,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/02_cuad28_scc_39_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,25,25,84538,12947,97485,70.67877197265625,False,True,True,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/03_bgb25_scc_3_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,1,1,17597,1889,19486,6.458427906036377,False,True,True,True,0.88,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/03_bgb25_scc_3_direct_mutex__naive-single.json
SA-MCGS,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,42,42,136027,21624,157651,130.50783824920654,False,True,True,True,0.64,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/03_bgb25_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,24,24,81652,19842,101494,91.19096088409424,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/04_cuad25_scc_17_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,1,1,62326,3997,66323,13.441775798797607,False,True,True,True,0.88,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/04_cuad25_scc_17_direct_mutex__naive-single.json
SA-MCGS,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,45,45,148194,39251,187445,178.71849822998047,False,True,True,True,0.76,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/04_cuad25_scc_17_direct_mutex__sa-mcgs.json
