method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,33,37,85397,63166,148563,446.21714997291565,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/01_cuad34_scc_11_direct_mutex__lea.json
naive-single,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,,1,57741,4558,62299,,True,,,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/01_cuad34_scc_11_direct_mutex__naive-single.json
SA-MCGS,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,48,50,120156,85868,206024,690.7585730552673,False,True,True,True,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/01_cuad34_scc_11_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,28,28,58498,45591,104089,312.5046179294586,False,False,True,False,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/02_cuad28_scc_39_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,1,1,39076,4725,43801,26.802722930908203,False,False,True,False,0.8214285714285714,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/02_cuad28_scc_39_direct_mutex__naive-single.json
SA-MCGS,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,50,52,105579,82664,188243,558.0386638641357,False,False,False,False,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/02_cuad28_scc_39_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,25,25,71894,21226,93120,214.25695395469666,False,True,True,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/03_bgb25_scc_3_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,1,1,15798,2206,18004,14.78702187538147,False,False,True,False,0.8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/03_bgb25_scc_3_direct_mutex__naive-single.json
SA-MCGS,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,50,51,151619,44421,196040,757.378310918808,False,False,False,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/03_bgb25_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,25,27,68006,43754,111760,310.18990087509155,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/04_cuad25_scc_17_direct_mutex__lea.json
naive-single,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,,1,54873,4798,59671,,True,,,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/04_cuad25_scc_17_direct_mutex__naive-single.json
SA-MCGS,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,50,51,135286,84243,219529,692.8731822967529,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/04_cuad25_scc_17_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,24,24,45264,33532,78796,316.0917580127716,False,False,True,True,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/05_cuad24_scc_21_direct_mutex__lea.json
naive-single,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,,1,29926,6256,36182,,True,,,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/05_cuad24_scc_21_direct_mutex__naive-single.json
SA-MCGS,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,49,50,81041,72278,153319,657.4479780197144,False,True,False,False,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/05_cuad24_scc_21_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,06_cuad20_scc_28_direct_mutex,cuad,20,1,1,20,20,53705,33595,87300,261.7170760631561,False,False,True,False,0.55,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/06_cuad20_scc_28_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,06_cuad20_scc_28_direct_mutex,cuad,20,1,1,1,1,47560,4207,51767,26.896034717559814,False,False,False,False,0.75,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/06_cuad20_scc_28_direct_mutex__naive-single.json
