variant,variant_key,case_id,case_order,domain,scc_id,scc_size,scc_bin,template,invalid,root_at_3,risk_any,risk_all,risk_coverage,compression,core_size,result_file
Full SA-MCGS (locked main),full-sa-mcgs-locked,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/01_cuad34_scc_11_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.6176470588235294,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/01_cuad34_scc_11_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/01_cuad34_scc_11_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,01_cuad34_scc_11_direct_mutex,1,cuad,scc_11,34,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5588235294117647,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/01_cuad34_scc_11_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/02_cuad28_scc_39_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,False,False,False,0.0,0.8928571428571429,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/02_cuad28_scc_39_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/02_cuad28_scc_39_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,02_cuad28_scc_39_direct_mutex,2,cuad,scc_39,28,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/02_cuad28_scc_39_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,large (20-34),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/03_bgb25_scc_3_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,large (20-34),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.6799999999999999,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/03_bgb25_scc_3_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,large (20-34),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/03_bgb25_scc_3_direct_mutex__no-oc-core-signal.json
