case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
41,41_cuad18_scc_6_condition_trigger,gpt-4o,cuad,scc_6,18,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_condition_trigger_critical_b60_1778869501.json,60,252.37758111953735
42,42_cuad18_scc_6_handoff_invariant,gpt-4o,cuad,scc_6,18,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_handoff_invariant_critical_b60_1778869144.json,60,378.91031193733215
43,43_cuad18_scc_6_temporal_gate,gpt-4o,cuad,scc_6,18,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_temporal_gate_critical_b60_1778869285.json,60,241.74254703521729
44,44_sec_ex2118_scc_3_condition_trigger,gpt-4o,sec_ex21,scc_3,18,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_condition_trigger_critical_b60_1778867137.json,60,172.44178819656372
45,45_cuad17_scc_0_condition_trigger,gpt-4o,cuad,scc_0,17,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_condition_trigger_critical_b60_1778869061.json,60,266.47658014297485
46,46_cuad17_scc_0_handoff_invariant,gpt-4o,cuad,scc_0,17,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_handoff_invariant_critical_b60_1778868985.json,60,220.19032502174377
47,47_cuad17_scc_0_temporal_gate,gpt-4o,cuad,scc_0,17,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_temporal_gate_critical_b60_1778869038.json,59,266.76408219337463
48,48_cuad16_scc_23_condition_trigger,gpt-4o,cuad,scc_23,16,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_condition_trigger_critical_b60_1778868870.json,60,360.58802461624146
49,49_cuad16_scc_23_handoff_invariant,gpt-4o,cuad,scc_23,16,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_handoff_invariant_critical_b60_1778868286.json,60,326.39883303642273
50,50_cuad16_scc_23_temporal_gate,gpt-4o,cuad,scc_23,16,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_temporal_gate_critical_b60_1778868859.json,60,278.9860911369324
