case_order,case_id,model,domain,scc_size,scale,template,invalid_output,root_at_3,risk_any,risk_all,compression,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec
1,001_gpt-4o_debian11_scc_23_direct_mutex,gpt-4o,debian,11,small,direct_mutex,False,True,True,True,0.5454545454545454,11,11,16931,7431,24362,83.58117890357971
2,002_gpt-4o_debian11_scc_23_handoff_invariant,gpt-4o,debian,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,11,11,16973,6915,23888,80.80797386169434
3,003_gpt-4o_debian11_scc_23_temporal_gate,gpt-4o,debian,11,small,temporal_gate,False,True,True,True,0.5454545454545454,11,11,17017,6897,23914,78.37408781051636
4,004_gpt-4o_debian11_scc_23_condition_trigger,gpt-4o,debian,11,small,condition_trigger,False,True,True,True,0.5454545454545454,9,9,13425,4751,18176,53.34821629524231
5,005_gpt-4o_debian12_scc_8_direct_mutex,gpt-4o,debian,12,small,direct_mutex,False,True,True,True,0.5,11,11,18228,8370,26598,76.94494223594666
6,006_gpt-4o_debian12_scc_8_handoff_invariant,gpt-4o,debian,12,small,handoff_invariant,False,True,True,False,0.5,11,11,17904,8581,26485,79.5279278755188
7,007_gpt-4o_debian12_scc_8_temporal_gate,gpt-4o,debian,12,small,temporal_gate,False,False,True,False,0.5,11,11,18164,6846,25010,67.28523087501526
8,008_gpt-4o_debian12_scc_8_condition_trigger,gpt-4o,debian,12,small,condition_trigger,False,False,True,True,0.5,11,11,18102,7336,25438,72.90342116355896
9,009_gpt-4o_sec_ex219_scc_5_direct_mutex,gpt-4o,sec_ex21,10,small,direct_mutex,False,True,True,True,0.5,10,10,7784,6570,14354,62.709131956100464
10,010_gpt-4o_sec_ex219_scc_0_handoff_invariant,gpt-4o,sec_ex21,12,small,handoff_invariant,False,True,True,True,0.5,12,12,9077,7141,16218,73.45035910606384
11,011_gpt-4o_sec_ex219_scc_1_temporal_gate,gpt-4o,sec_ex21,9,small,temporal_gate,False,True,True,True,0.4444444444444444,9,9,7161,6288,13449,60.599491119384766
12,012_gpt-4o_sec_ex219_scc_6_condition_trigger,gpt-4o,sec_ex21,11,small,condition_trigger,False,True,True,False,0.5454545454545454,11,11,9235,8660,17895,76.52060532569885
13,013_gpt-4o_sec_ex2110_scc_7_direct_mutex,gpt-4o,sec_ex21,11,small,direct_mutex,False,True,True,True,0.5454545454545454,11,11,8469,7648,16117,68.15577793121338
14,014_gpt-4o_sec_ex2110_scc_5_handoff_invariant,gpt-4o,sec_ex21,10,small,handoff_invariant,False,True,True,True,0.5,10,10,7857,6549,14406,61.33955478668213
15,015_gpt-4o_sec_ex2110_scc_2_temporal_gate,gpt-4o,sec_ex21,11,small,temporal_gate,False,True,True,False,0.5454545454545454,8,8,8961,5501,14462,51.571845054626465
16,016_gpt-4o_sec_ex2110_scc_2_condition_trigger,gpt-4o,sec_ex21,11,small,condition_trigger,False,True,False,False,0.5454545454545454,8,8,8970,5351,14321,57.696414947509766
17,017_gpt-4o_sec_ex2111_scc_3_direct_mutex,gpt-4o,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,12,10326,9556,19882,87.71480512619019
18,018_gpt-4o_sec_ex2111_scc_7_handoff_invariant,gpt-4o,sec_ex21,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,11,11,8564,7432,15996,71.93471193313599
19,019_gpt-4o_sec_ex2111_scc_1_temporal_gate,gpt-4o,sec_ex21,9,small,temporal_gate,False,True,True,True,0.4444444444444444,9,9,7161,5908,13069,59.6907799243927
20,020_gpt-4o_sec_ex2111_scc_4_condition_trigger,gpt-4o,sec_ex21,18,medium,condition_trigger,False,True,True,False,0.5,18,18,19695,13488,33183,130.05259704589844
21,021_gpt-4o_sec_ex2112_scc_2_direct_mutex,gpt-4o,sec_ex21,11,small,direct_mutex,False,True,False,False,0.5454545454545454,8,8,8939,5647,14586,54.039794921875
22,022_gpt-4o_sec_ex2112_scc_4_handoff_invariant,gpt-4o,sec_ex21,18,medium,handoff_invariant,False,True,True,False,0.5,18,18,19679,12862,32541,121.74175214767456
23,023_gpt-4o_sec_ex2112_scc_4_temporal_gate,gpt-4o,sec_ex21,18,medium,temporal_gate,False,True,True,False,0.5,18,18,19692,14288,33980,148.12465000152588
24,024_gpt-4o_sec_ex2112_scc_2_condition_trigger,gpt-4o,sec_ex21,11,small,condition_trigger,False,True,False,False,0.5454545454545454,8,8,8970,5706,14676,53.74985599517822
25,025_gpt-4o_sec_ex2118_scc_3_direct_mutex,gpt-4o,sec_ex21,12,small,direct_mutex,False,True,True,False,0.5,12,12,10326,9063,19389,89.55964422225952
26,026_gpt-4o_sec_ex2118_scc_1_handoff_invariant,gpt-4o,sec_ex21,9,small,handoff_invariant,False,True,True,True,0.4444444444444444,9,9,7157,5708,12865,63.45670700073242
27,027_gpt-4o_sec_ex2118_scc_7_temporal_gate,gpt-4o,sec_ex21,11,small,temporal_gate,False,True,True,True,0.5454545454545454,11,11,8566,7813,16379,74.44362688064575
28,028_gpt-4o_sec_ex2118_scc_3_condition_trigger,gpt-4o,sec_ex21,12,small,condition_trigger,False,True,True,True,0.5,12,12,10336,8945,19281,76.4289801120758
29,029_gpt-4o_bgb9_scc_7_direct_mutex,gpt-4o,bgb,9,small,direct_mutex,False,False,True,False,0.4444444444444444,9,9,22942,8542,31484,96.61678504943848
30,030_gpt-4o_bgb9_scc_7_handoff_invariant,gpt-4o,bgb,9,small,handoff_invariant,False,False,True,False,0.4444444444444444,9,9,23060,8328,31388,91.20819687843323
31,031_gpt-4o_bgb9_scc_7_temporal_gate,gpt-4o,bgb,9,small,temporal_gate,False,False,False,False,0.4444444444444444,9,9,23072,8812,31884,83.03770589828491
32,032_gpt-4o_bgb9_scc_7_condition_trigger,gpt-4o,bgb,9,small,condition_trigger,False,False,False,False,0.4444444444444444,9,9,23060,8167,31227,86.56315898895264
33,033_gpt-4o_bgb11_scc_0_direct_mutex,gpt-4o,bgb,11,small,direct_mutex,False,True,True,False,0.5454545454545454,11,11,17866,9577,27443,94.78667187690735
34,034_gpt-4o_bgb11_scc_0_handoff_invariant,gpt-4o,bgb,11,small,handoff_invariant,False,True,True,False,0.5454545454545454,11,11,17900,9633,27533,94.42840766906738
35,035_gpt-4o_bgb11_scc_0_temporal_gate,gpt-4o,bgb,11,small,temporal_gate,False,True,True,False,0.5454545454545454,11,11,17908,8901,26809,79.20431113243103
36,036_gpt-4o_bgb11_scc_0_condition_trigger,gpt-4o,bgb,11,small,condition_trigger,False,True,True,False,0.5454545454545454,11,11,17886,9922,27808,105.25487899780273
37,037_gpt-4o_bgb25_scc_3_direct_mutex,gpt-4o,bgb,25,large,direct_mutex,False,False,True,False,0.52,25,25,71894,22317,94211,230.15640902519226
38,038_gpt-4o_bgb25_scc_3_handoff_invariant,gpt-4o,bgb,25,large,handoff_invariant,False,False,True,False,0.52,25,25,71923,22391,94314,216.39964890480042
39,039_gpt-4o_bgb25_scc_3_temporal_gate,gpt-4o,bgb,25,large,temporal_gate,False,False,True,False,0.52,25,25,71929,22306,94235,223.7885398864746
40,040_gpt-4o_bgb25_scc_3_condition_trigger,gpt-4o,bgb,25,large,condition_trigger,False,True,True,False,0.52,25,25,71898,21678,93576,221.48303818702698
41,041_gpt-4o_cuad12_scc_50_direct_mutex,gpt-4o,cuad,12,small,direct_mutex,False,True,True,True,0.5,12,13,28079,21645,49724,136.51220893859863
42,042_gpt-4o_cuad12_scc_50_handoff_invariant,gpt-4o,cuad,12,small,handoff_invariant,False,True,True,True,0.5,12,12,25752,19077,44829,118.21418976783752
43,043_gpt-4o_cuad12_scc_50_temporal_gate,gpt-4o,cuad,12,small,temporal_gate,False,True,True,True,0.5,12,12,25783,19657,45440,122.3796820640564
44,044_gpt-4o_cuad12_scc_50_condition_trigger,gpt-4o,cuad,12,small,condition_trigger,False,True,True,True,0.5,12,12,25815,20019,45834,132.15539979934692
45,045_gpt-4o_cuad14_scc_8_direct_mutex,gpt-4o,cuad,14,medium,direct_mutex,False,False,True,True,0.5,14,14,32405,23564,55969,149.76574993133545
46,046_gpt-4o_cuad14_scc_8_handoff_invariant,gpt-4o,cuad,14,medium,handoff_invariant,False,True,True,True,0.5,14,14,32405,23585,55990,146.8739731311798
47,047_gpt-4o_cuad14_scc_8_temporal_gate,gpt-4o,cuad,14,medium,temporal_gate,False,True,True,True,0.5,14,14,32432,24836,57268,161.41551113128662
48,048_gpt-4o_cuad14_scc_8_condition_trigger,gpt-4o,cuad,14,medium,condition_trigger,False,True,True,True,0.5,14,14,32458,24127,56585,147.74778604507446
